ID_src,l,b,yield,alphaCadence,alphaTexp
941,1.6,2.0,0.6394574868765678,-0.4472271726856777,0.6623018910978961
942,1.6,2.2,0.5470414390107654,-0.4071367755527394,0.5626868264308227
943,1.6,2.4,0.5167718823096078,-0.3883072476189675,0.5403169788032283
944,1.6,2.6,0.45257968417251726,-0.40464750580598335,0.44643820829162806
945,1.6,2.8,0.32859694552699503,-0.39932692981557943,0.5570368846381599
946,1.6,3.0,0.26309516868884164,-0.3958230702669299,0.7368503348645622
947,1.6,3.2,0.23662328524176418,-0.3798678682549322,0.5862138095011262
948,1.6,3.4,0.1970423525167134,-0.35988349719351603,0.5261195206505873
949,1.6,3.6,0.171453761337609,-0.3461172675282175,0.5717590219093139
950,1.6,3.8,0.105428871186624,-0.36632943481758845,0.7050189400706055
890,1.4,-4.0,0.16472112705233222,-0.2944825575953662,0.4679478038958023
889,1.4,-3.8,0.18318762588642298,-0.3355894288904,0.49466727228472124
888,1.4,-3.6,0.22583849895145863,-0.3501892321535681,0.5769198720835487
887,1.4,-3.4,0.24998527423064879,-0.3507736360487166,0.563329470698992
886,1.4,-3.2,0.3074350583750616,-0.3517018808779769,0.5649980885949711
885,1.4,-3.0,0.355274314209483,-0.3637021445778364,0.5402589569194324
884,1.4,-2.8,0.43000835632936923,-0.39544764610755356,0.5548199458670184
883,1.4,-2.6,0.5147643821021346,-0.37981392806977005,0.5230777355106746
882,1.4,-2.4,0.5776773410902644,-0.4089441216098015,0.6491197188176971
881,1.4,-2.2,0.6623163563779524,-0.4151204520999607,0.5047049797952945
880,1.4,-2.0,0.7156221593187941,-0.45421415943332144,0.5512286332438419
879,1.4,-1.8,0.8635231626719755,-0.48325984580030407,0.7336978115903918
878,1.4,-1.6,0.9417649309336542,-0.45995757730775927,0.7003660931691394
877,1.4,-1.4,1.0751878415144636,-0.4892271222666472,0.5724588280534526
876,1.4,-1.2,1.1496954356068871,-0.46885724015561825,0.6122250788308661
875,1.4,-1.0,1.1943284668266516,-0.487803267315852,0.7789758894710941
874,1.4,-0.8,1.2642864231267548,-0.49218524301056266,0.7909680166509017
873,1.4,-0.6,1.0570745924461549,-0.45608834089474665,0.7476210026087489
872,1.4,-0.4,0.556911034100022,-0.4306060679029745,0.7095700574558307
871,1.4,-0.2,0.6906325165777176,-0.39884689391969336,0.6235393589644316
891,1.4,0.0,0.208945250786625,-0.35207981976399455,0.8363762055979923
892,1.4,0.2,0.5120073796256316,-0.39413170545672876,0.5677632222333667
893,1.4,0.4,0.506833411577835,-0.39814818446723804,0.4330820523459618
894,1.4,0.6,0.9233303719377888,-0.4490469551369142,0.7346286238352054
895,1.4,0.8,1.188136601527566,-0.45327595712522284,0.5249078502560238
896,1.4,1.0,1.2233332295564507,-0.4714612276427655,0.7115972638501742
897,1.4,1.2,1.0964020367724827,-0.4766193652004276,0.6544867720316704
898,1.4,1.4,1.0055507201717773,-0.46709079124048597,0.4875079676235198
899,1.4,1.6,0.8574526676458145,-0.4622942205621365,0.6462236421819765
900,1.4,1.8,0.6655023996433835,-0.4385208227342643,0.621791107246779
901,1.4,2.0,0.6002656447091742,-0.45000211958877984,0.5861253770247196
902,1.4,2.2,0.5638307199182448,-0.43911752877630394,0.6175228691648432
903,1.4,2.4,0.47781684147360903,-0.4173492932319513,0.5609839680169684
904,1.4,2.6,0.4177863727552056,-0.39068725567234874,0.4852106853389534
905,1.4,2.8,0.367717140934119,-0.4018785262301128,0.5576780800256088
906,1.4,3.0,0.3011151814910688,-0.37703996051139893,0.4679564703227093
907,1.4,3.2,0.2551595473255476,-0.36835816101358865,0.4653438529899329
908,1.4,3.4,0.198335415586083,-0.34702861858368655,0.5388127166720372
